method,device,scenario_id,home_window,pmax,e_need,cost_15min,cost_60min,delta_eur,delta_pct,cost_ctrl_only,cost_price_only,status_15min,status_60min,status_ctrl_only,status_price_only,row_status,min_temp_15,min_temp_60,violations_15,violations_60,daily_hotwater_kwh,events
OPT,EV,EV_2025-10-08_P11_E20,17:00-08:00,11.0,20.0,1.1609722253546515,1.182936111244405,0.02196388588975351,1.8567263000068799,1.1829361112444052,1.182936111244405,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-08_P11_E30,17:00-08:00,11.0,30.0,1.7697000012968283,1.7963333334666678,0.02663333216983954,1.4826497773907585,1.7963333334666687,1.7963333334666691,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-09_P3.6_E10,17:00-08:00,3.6,10.0,0.082315559304679,0.08274777789228402,0.0004322185876050183,0.5223325612050319,0.08274777789228412,0.08274777789228403,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-09_P3.6_E20,17:00-08:00,3.6,20.0,0.21011555564608092,0.21378222261153695,0.0036666669654560335,1.7151411939984942,0.21378222261153684,0.21378222261153687,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-09_P3.6_E30,17:00-08:00,3.6,30.0,0.4100933333945299,0.4123266676781414,0.002233334283611499,0.54164196950628,0.41232666767814125,0.41232666767814097,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-09_P11_E10,17:00-08:00,11.0,10.0,0.08028611135707338,0.0802944460747591,8.334717685715143e-06,0.010380192022191679,0.08029444607475915,0.08029444607475901,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-09_P11_E20,17:00-08:00,11.0,20.0,0.16228888991671295,0.16229444518759323,5.555270880280849e-06,0.0034229581140991063,0.16229444518759323,0.1622944451875932,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-09_P11_E30,17:00-08:00,11.0,30.0,0.2467666678429608,0.24740833416383434,0.0006416663208735351,0.25935517614722803,0.24740833416383443,0.2474083341638344,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-10_P3.6_E10,17:00-08:00,3.6,10.0,0.06474555589490492,0.06492555584722545,0.00017999995232052812,0.2772405256630857,0.06492555584722542,0.06492555584722545,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-10_P3.6_E20,17:00-08:00,3.6,20.0,0.13081333508978232,0.13088777792345957,7.444283367724625e-05,0.0568753132326678,0.13088777792345965,0.13088777792345963,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-10_P3.6_E30,17:00-08:00,3.6,30.0,0.19749666737315058,0.1979233365464897,0.0004266691733391115,0.2155729489932544,0.19792333654648964,0.19792333654648958,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-10_P11_E10,17:00-08:00,11.0,10.0,0.06389444449648359,0.06444722228855775,0.0005527777920741606,0.8577216712291156,0.06444722228855775,0.06444722228855775,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-10_P11_E20,17:00-08:00,11.0,20.0,0.12863611183949433,0.12918611135635005,0.0005499995168557203,0.425741986565869,0.12918611135635005,0.1291861113563501,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-10_P11_E30,17:00-08:00,11.0,30.0,0.19419166771163734,0.1947416671684794,0.0005499994568420596,0.2824251557660906,0.19474166716847938,0.1947416671684794,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-11_P3.6_E10,17:00-08:00,3.6,10.0,0.06937000272063618,0.06949111117207203,0.00012110845143585569,0.1742790543900934,0.06949111117207205,0.06949111117207202,optimal,optimal,optimal,optimal,ok,,,,,,
